,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
A270287,医療法人　実有会　小松クリニック,559-0033,"大阪府大阪市住之江区南港中３－５
しらなみ団地３７－１０１",06(4703)0257,"3,000 ",○,0ヵ月以上,×,,
A270323,はなのまちファミリークリニック,559-0033,"大阪府大阪市住之江区南港中５－５
はなのまちファミリークリニック",06(6612)8822,"3,000 ",○,満1歳以上,×,,
A270090,滝広内科医院,560-0005,大阪府豊中市西緑丘３－２６－２８,06(6846)7272,"3,080 ",○,満3歳以上,×,,
A270423,仁科医院,560-0013,大阪府豊中市上野東１－３－２４,06(6852)5519,"3,080 ",○,満18歳以上,×,,
A270369,塩路医院,560-0014,"大阪府豊中市熊野町４－１２－２３
笹部マンション１階",06(6848)3398,"3,080 ",○,満6歳以上,×,,
A270291,ふじわら医院,560-0021,大阪府豊中市本町２－１－４５－１０１,06(6151)2552,"3,080 ",○,0ヵ月以上,×,,
A270425,藤戸クリニック,560-0021,大阪府豊中市本町６－７－６,06(6848)1111,"3,080 ",○,満3歳以上,×,,
A270319,イツミ内科医院,560-0081,大阪府豊中市新千里北町２－３６－３,06(6872)2609,"3,080 ",○,満6歳以上,×,,
A270235,医療法人　春水会　おの泌尿器科クリニック,560-0082,"大阪府豊中市新千里東町１－４－２
千里ライフサイエンスセンタービル１０階",06(6836)6305,"3,080 ",○,満6歳以上,×,,
A270102,医療法人　鳥辺医院,560-0082,大阪府豊中市新千里東町３－５－４,06(6872)0161,"3,000 ",○,満1歳以上,×,,
A270134,医療法人　井上内科クリニック,560-0085,"大阪府豊中市上新田１－１０－２８
サイドヒルコート１０１",06(6873)5512,"3,000 ",○,満6歳以上,×,,
A270131,畑診療所,561-0021,"大阪府豊中市本町４－１－２２
第１５千里ビル２０４",06(6856)1511,"3,000 ",○,満15歳以上,×,,
A270442,重原内科小児科医院,561-0816,"大阪府豊中市豊南町西３－３－１
司マンション１０５号",06(6331)1671,"3,080 ",○,満1歳以上,×,,
A270198,医療法人　大野医院,561-0833,大阪府豊中市庄内幸町１－９－１６,06(6331)1895,"3,000 ",○,満1歳以上,×,,
A270358,天神クリニック,561-0858,大阪府豊中市服部西町２－８－８,06(6864)0688,"3,000 ",○,満13歳以上,×,,
A270171,医療法人　愛慈会　田中医院,561-0881,大阪府豊中市中桜塚２－２－２,06(6850)0088,"3,000 ",○,満16歳以上,×,,
A270117,島越内科,561-0881,大阪府豊中市中桜塚２－２５－９,06(6841)1300,"3,000 ",○,6ヵ月以上,○,"3,080 ",1事業所1回訪問10名以上
A270098,さとう医院,561-0881,大阪府豊中市中桜塚５－２０－３８,06(6848)1881,"3,000 ",○,満1歳以上,×,,
A270097,秦内科クリニック,561-0885,大阪府豊中市岡町６－１７,06(6852)3239,"3,000 ",○,満6歳以上,×,,
A270020,医療法人　神明会　印どうメディカルクリニック,562-0012,大阪府箕面市白島１－１５－５,072(724)2824,"3,000 ",○,満5歳以上,×,,
A270334,医療法人つちたにこどもくりにっく,562-0025,大阪府箕面市粟生外院１－１１－１９,072(729)8882,"3,080 ",○,6ヵ月以上,×,,
A270349,医療法人　中西医院,562-0044,大阪府箕面市半町４－１－２７,072(722)2198,"3,080 ",○,満3歳以上,×,,
A270491,山本内科,563-0023,大阪府池田市井口堂１－６－２７,072(761)2551,"3,080 ",○,満1歳以上,×,,
A270221,つのおか循環器内科クリニック,563-0048,"大阪府池田市呉服町１－１－１３６
サンシティ池田１階",072(750)6610,"3,000 ",○,満7歳以上,×,,
A270280,医療法人　修孝会　林内科,564-0052,"大阪府吹田市広芝町１０－４０
ＴＥＫ第１ビル３階",06(6388)1114,"3,000 ",○,6ヵ月以上,×,,
A270008,関山診療所,564-0063,大阪府吹田市江坂町４－１０－１,06(6386)1651,"3,000 ",○,満16歳以上,○,"3,000 ",1事業所1回訪問50名以上
A270305,ぬのでクリニック,565-0824,"大阪府吹田市山田西４－２－７０
ジオタワー千里山田１Ｆ",06(6816)1016,"3,000 ",○,満1歳以上,×,,
A270062,片山小児科,565-0832,"大阪府吹田市五月が丘南８－１０－
１０６",06(6388)3123,"3,000 ",○,満1歳以上,×,,
A270268,さたけ内科クリニック,565-0836,大阪府吹田市佐井寺４－１１－１６,06(6821)5640,"3,000 ",○,満1歳以上,×,,
A270343,井上クリニック,565-0841,大阪府吹田市上山手町２１－２８,06(6310)8088,"3,000 ",○,満1歳以上,×,,
A270431,森内科クリニック,565-0842,大阪府吹田市千里山東４－６－１０,06(6387)1411,"3,080 ",○,満3歳以上,×,,
A270427,西村クリニック,565-0863,大阪府吹田市竹見台４－２－６,06(6871)0231,"3,080 ",○,満3歳以上,×,,
A270258,医療法人　千里丘協立診療所,566-0011,大阪府摂津市千里丘東２－１２－１０,072(622)8638,"3,080 ",○,満13歳以上,×,,
A270123,医療法人　やまもとクリニック,567-0816,"大阪府茨木市永代町７－１０
川崎ビル２階",072(645)5166,"3,000 ",○,満1歳以上,×,,
A270354,（医）愛心会　今井クリニック,567-0824,"大阪府茨木市中津町１８－２３プラザ
タツミ１階（イオン新茨木店東隣）",072(637)2468,"3,000 ",○,満1歳以上,×,,
A270189,医療法人　崇孝会　北摂クリニック,567-0826,大阪府茨木市大池１－１０－３７,072(633)3313,"3,080 ",○,満15歳以上,×,,
A270014,医療法人　領愛会　大嶋クリニック,567-0829,大阪府茨木市双葉町８－１９,072(633)0119,"3,080 ",○,0ヵ月以上,×,,
A270325,さいとう内科クリニック,569-0055,"大阪府高槻市西冠１－１２－８
たかつき西冠ビル１階",072(676)7666,"3,080 ",○,0ヵ月以上,×,,
A270321,医療法人　かとうクリニック,569-0081,"大阪府高槻市宮野町３－１２
サニープラザ南館",072(675)7711,"3,080 ",○,満5歳以上,×,,
A270238,医療法人　入江会　末吉クリニック,569-0811,大阪府高槻市東五百住町３－７－２０,072(696)0048,"3,080 ",○,満6歳以上,×,,
A270259,医療法人　庸愛会　富田町病院,569-0814,大阪府高槻市富田町６－１０－１,072(693)2101,"2,800 ",○,6ヵ月以上,×,,
A270075,社会医療法人　愛仁会　愛仁会総合健康センター,569-1143,大阪府高槻市幸町４－３,072(692)9291,"3,000 ",○,満18歳以上,×,,
A270144,医療法人　すがの診療所,570-0032,大阪府守口市菊水通２－４－１０,06(6996)3971,"3,000 ",○,6ヵ月以上,×,,
A270414,けいはん医療生活協同組合　さつき診療所,570-0032,大阪府守口市菊水通３－２－５,06(6991)1101,"3,080 ",○,満6歳以上,×,,
A270204,白井医院,570-0034,大阪府守口市西郷通１－１５－１８,06(6991)3290,"3,000 ",○,0ヵ月以上,×,,
A270058,医療法人　門真クリニック　あいわ診療所,571-0048,大阪府門真市新橋町２－１２,06(6908)0721,"3,080 ",×,,×,,
A270137,福森胃腸科・放射線科,571-0048,大阪府門真市新橋町３－３－３０１,06(6908)0505,"3,000 ",○,満16歳以上,×,,
A270003,けいはん医療生活協同組合　みどり診療所,571-0072,大阪府門真市城垣町２－３３,072(882)1118,"3,080 ",○,満1歳以上,×,,
A270322,西田クリニック,572-0004,大阪府寝屋川市成田町２５－２,072(837)6766,"2,500 ",○,0ヵ月以上,×,,
A270005,けいはん医療生活協同組合　みい診療所,572-0019,大阪府寝屋川市三井南町２０－１７,072(835)0600,"3,080 ",○,満7歳以上,×,,
A270024,医療法人　道仁会　道仁病院,572-0066,大阪府寝屋川市仁和寺町３１－１,072(827)1951,"3,080 ",×,,×,,
A270315,医療法人　谷口クリニック,572-0085,大阪府寝屋川市香里新町２６－３,072(833)8100,"3,000 ",○,満13歳以上,×,,
A270378,はらだ内科クリニック,572-0838,"大阪府寝屋川市八坂町１５－８
中川ビル２Ｆ",072(811)7733,"2,500 ",○,6ヵ月以上,×,,
A270340,（医）春陽会　稲垣医院,573-0027,大阪府枚方市大垣内町１－１－１５,072(841)2166,"3,080 ",○,満2歳以上,×,,
A270467,医療法人　敬節会　敬節クリニック,573-0032,大阪府枚方市岡東町１２－３－４０２,072(804)5522,"3,080 ",○,満20歳以上,×,,
A270244,医療法人　愛成会　愛成クリニック,573-0048,大阪府枚方市山之上西町３２－１５,072(845)0888,"3,000 ",○,満13歳以上,×,,
A270348,（医）医生会　木村内科,573-0064,大阪府枚方市北中振３－１８－１７,072(831)2211,"3,080 ",○,6ヵ月以上,×,,
A270440,中村医院,573-1107,大阪府枚方市楠葉中町４４－２３,072(857)7580,"3,080 ",○,0ヵ月以上,×,,
A270328,医）貴和会　奥田クリニック,573-1191,大阪府枚方市新町１－７－７,072(843)3535,"2,300 ",○,満1歳以上,×,,
A270200,医療法人　皆秀会　皆川クリニック,574-0011,大阪府大東市北条１－５－３０,072(876)0766,"2,500 ",○,満1歳以上,×,,
A270222,医療法人　桜美会　桜本外科・胃腸内科,574-0011,大阪府大東市北条２－９－１８,072(877)7788,"3,000 ",○,満15歳以上,×,,
A270226,荒矢診療所,574-0025,大阪府大東市御供田５－６－２３,072(875)3220,"2,800 ",○,満1歳以上,×,,
A270480,医）真輝会　浅田クリニック,574-0046,"大阪府大東市赤井１－３－２３
シャンテ三船Ⅲ１階",072(806)8080,"3,080 ",○,6ヵ月以上,×,,
A270285,西村クリニック,575-0023,"大阪府四條畷市楠公１－１４－６
梨岡ハイツ１階",072(862)3001,"3,000 ",○,満6歳以上,×,,
A270179,医療法人　河野医院,575-0023,大阪府四條畷市楠公２－１０－１２,072(876)0241,"3,000 ",○,6ヵ月以上,×,,
A270220,医療法人仁久会　藤原産婦人科,576-0042,大阪府交野市梅が枝４４－３,072(892)0341,"3,080 ",○,満18歳以上,×,,
A270070,おくだ内科医院,577-0013,"大阪府東大阪市長田中１－５－１９
エリスハイム田中１Ｆ",06(6787)6055,"3,000 ",○,満1歳以上,×,,
A270426,医療法人　仁修会　城野内科医院,577-0013,大阪府東大阪市長田中１－１－５,06(6618)0567,"3,080 ",○,満1歳以上,×,,
A270016,医療法人　総仁会　しのづか医院,577-0034,"大阪府東大阪市御厨南１－１－１２
ユニティハウス１階",06(6789)7808,"3,080 ",○,6ヵ月以上,×,,
A270329,医療法人　青和会　みずしま内科クリニック,577-0054,大阪府東大阪市高井田元町１－３－１,06(6781)3330,"2,500 ",○,満16歳以上,×,,
A270033,医療法人　岡本医院,577-0061,大阪府東大阪市森河内西２－２０－１９,06(6781)2051,"3,000 ",○,満1歳以上,×,,
A270316,医療法人　幸志会　もり内科クリニック,577-0804,大阪府東大阪市中小阪１－１８－７,06(6723)0980,"3,080 ",○,満1歳以上,×,,
A270361,医療法人　七翔会　松岡医院,577-0807,大阪府東大阪市菱屋西５－１２－２３,06(6782)3355,"3,080 ",○,満1歳以上,×,,
A270017,酒井医院,577-0807,大阪府東大阪市菱屋西２－７－１６,06(6729)7715,"3,000 ",○,0ヵ月以上,×,,
A270376,医療法人　竹村内科,577-0807,大阪府東大阪市菱屋西３－４－３２,06(6725)2225,"3,000 ",○,満15歳以上,×,,
A270483,（医）倫友会　岡本内科医院,577-0824,大阪府東大阪市大蓮東３－３－３,06(6724)4561,"3,080 ",○,0ヵ月以上,×,,
A270453,左谷医院,577-0826,大阪府東大阪市大蓮北２－１２－１,06(6722)2957,"3,080 ",○,満1歳以上,×,,
A270039,（医）奥会　奥医院,577-0834,大阪府東大阪市柏田本町３－８,06(6721)1324,"3,080 ",○,0ヵ月以上,×,,
A270384,やまもと内科クリニック,577-0837,大阪府東大阪市寿町３－１２－３,06(6728)7724,"3,080 ",○,満1歳以上,×,,
A270494,内科外科西岡ファミリークリニック,578-0922,大阪府東大阪市松原１－１６－３４,072(920)7368,"3,080 ",○,満16歳以上,×,,
A270474,中川内科クリニック,579-8003,大阪府東大阪市日下町３－５－３０,072(982)7714,"3,080 ",○,満13歳以上,×,,
A270473,医療法人慈奨会　いしはまクリニック,580-0043,大阪府松原市阿保３－８－２１,072(335)4043,"3,080 ",○,満1歳以上,×,,
A270401,室家あったかクリニック,581-0013,"大阪府八尾市山本町南４－１－３
岩田ビル１Ｆ",072(990)3380,"3,080 ",○,0ヵ月以上,×,,
A270428,医療法人　堀辺医院,581-0037,大阪府八尾市太田３－５９,072(949)5595,"3,000 ",○,満15歳以上,×,,
A270391,奥村クリニック,581-0085,大阪府八尾市安中町４－２－１７,072(991)2223,"2,600 ",○,満3歳以上,×,,
A270169,堀谷診療所,581-0803,大阪府八尾市光町１－７,072(998)8099,"3,000 ",○,満1歳以上,×,,
A270205,八尾北医療センター,581-0823,大阪府八尾市桂町６－１８－１,072(999)3555,"2,500 ",○,満1歳以上,×,,
A270053,近藤診療所,582-0001,大阪府柏原市本郷１－３－１８,072(971)3301,"3,000 ",○,満6歳以上,×,,
A270211,医療法人　ときよしクリニック,583-0026,"大阪府藤井寺市春日丘１－９－１
第２アサヒビル１Ｆ",072(952)8607,"3,080 ",○,満1歳以上,×,,
A270458,白川医院,583-0036,大阪府藤井寺市恵美坂１－１２－１４,072(955)0703,"3,000 ",○,満1歳以上,×,,
A270087,医療法人　江村医院,584-0031,大阪府富田林市寿町２－３－２,0721(23)2006,"3,000 ",○,満1歳以上,×,,
A270086,ほりうちクリニック,584-0073,"大阪府富田林市寺池台１－９－４
ファミール金剛ヒルズソシエテ１Ｆ",0721(40)1110,"3,000 ",○,満1歳以上,×,,
A270365,長﨑内科医院,586-0009,大阪府河内長野市木戸西町２－１－１６,0721(50)3200,"3,000 ",○,満1歳以上,×,,
A270318,なみかわクリニック,586-0024,大阪府河内長野市西之山町１－２２,0721(54)6155,"3,080 ",○,満1歳以上,×,,
A270375,矢ヶ﨑小児科・アレルギー科,586-0048,"大阪府河内長野市三日市町５６－１６
高岸ビル３Ｆ",0721(60)3300,"3,080 ",○,満1歳以上,×,,
A270166,福岡内科クリニック,586-0068,大阪府河内長野市北青葉台４３－３０,0721(65)0360,"3,000 ",○,満1歳以上,×,,
A270255,医療法人　恒昭会　青葉丘病院,589-0004,"大阪府大阪狭山市東池尻
１－２１９８－１",072(365)3821,"3,080 ",○,満16歳以上,×,,
A270243,一般財団法人　大阪府結核予防会　堺高島屋内診療所,590-0028,"大阪府堺市堺区三国ケ丘御幸通５９
高島屋堺店内５階",072(221)5515,"3,080 ",○,満16歳以上,×,,
A270157,いしだ医院,590-0048,大阪府堺市堺区一条通１５－２５,072(238)6668,"3,000 ",○,満1歳以上,×,,
A270394,大川内科医院,590-0054,大阪府堺市堺区京町通３－２５,072(222)1288,"2,700 ",○,満2歳以上,×,,
A270196,大住医院,590-0063,大阪府堺市堺区中安井町２－１－１,072(232)1631,"2,800 ",○,満3歳以上,×,,
A270301,医療法人　健生医心会　くわ総合クリニック,590-0113,大阪府堺市南区晴美台２－３５－１０,072(292)6060,"3,000 ",○,満6歳以上,×,,
A270018,長束クリニック,590-0503,大阪府泉南市新家６３０－４,072(482)1220,"3,000 ",○,満1歳以上,×,,
A270184,医療法人幸福会　中川クリニック,590-0834,"大阪府堺市堺区出島町２－６－２４
山田ビル２Ｆ",072(243)0100,"3,000 ",○,満1歳以上,×,,
A270485,松浦クリニック,590-0947,大阪府堺市堺区熊野町西３－２－３,072(223)8775,"2,500 ",○,満3歳以上,×,,
A270199,医療法人　産婦人科　内科　沈沢医院,590-0974,大阪府堺市堺区大浜北町２－１－３０,072(223)5133,"3,000 ",○,満1歳以上,×,,
A270331,内科　原クリニック,590-0985,大阪府堺市堺区戎島町２－３０－１１３,072(229)4560,"2,500 ",○,0ヵ月以上,×,,
A270112,整形外科ひろクリニック,591-8002,"大阪府堺市北区北花田町２－４－１
コプリー１Ｆ",072(250)5551,"3,000 ",○,満18歳以上,×,,
A270133,医療法人　慶翔会　あさかクリニック,591-8008,"大阪府堺市北区東浅香山町２丁３４８－
１",072(251)1116,"3,080 ",○,満15歳以上,×,,
A270419,棚橋内科・循環器科,591-8025,大阪府堺市北区長曾根町１４６９－１,072(256)2566,"3,080 ",○,満15歳以上,×,,
A270444,医療法人　中山内科医院,591-8032,大阪府堺市百舌鳥梅町３丁２１－７,072(257)0380,"3,080 ",○,満1歳以上,×,,
A270265,耳原高石診療所,592-0011,大阪府高石市加茂１－１－５,072(265)8110,"3,080 ",○,満1歳以上,×,,
A270470,唄医院,592-8349,大阪府堺市西区浜寺諏訪森町東１丁５９,072(262)3532,"3,080 ",○,満15歳以上,×,,
A270317,上野内科医院,593-8305,大阪府堺市西区堀上緑町２－２－１,072(279)1322,"2,500 ",○,満1歳以上,×,,
A270261,（医）岡原クリニック,593-8322,大阪府堺市西区津久野町３－２７－５０,072(267)6789,"3,000 ",○,6ヵ月以上,×,,
A270381,井関クリニック,593-8327,"大阪府堺市西区鳳中町４丁９４
メゾン鳳２１１階",072(267)1167,"3,000 ",○,満1歳以上,×,,
A270145,（医）　久我胃腸科内科,594-0071,大阪府和泉市府中町７－５－３,0725(41)6700,"2,500 ",○,満16歳以上,×,,
A270404,和気河合医院,594-0073,大阪府和泉市和気町３－１１－１８,0725(41)0357,"3,080 ",○,満1歳以上,×,,
A270281,金澤クリニック,594-0073,大阪府和泉市和気町２－３－７,0725(46)1026,"3,080 ",○,0ヵ月以上,×,,
A270168,原田内科クリニック,594-1153,大阪府和泉市青葉台２－１９－２,0725(55)1843,"3,080 ",○,満1歳以上,×,,
A270121,吉田内科クリニック,595-0005,大阪府泉大津市森町１－３－２５,0725(31)1988,"3,000 ",○,満6歳以上,×,,
A270111,助松団地診療所,595-0007,大阪府泉大津市助松団地３－１１,0725(32)5776,"3,080 ",○,6ヵ月以上,×,,
A270377,永野医院,595-0046,大阪府泉大津市上之町７－３４,0725(32)1075,"3,000 ",○,満1歳以上,×,,
A270048,医療法人医敬会　安藤外科・整形外科医院,595-0805,"大阪府泉北郡忠岡町忠岡東
１－３９－２９",0725(22)5515,"3,080 ",○,満1歳以上,×,,
A270093,津田診療所,596-0042,大阪府岸和田市加守町２－７－５,072(439)6171,"3,000 ",○,満1歳以上,×,,
A270174,医療法人　みらい　喜多クリニック,596-0043,大阪府岸和田市宮前町２４－８,072(448)5550,"3,000 ",○,満3歳以上,×,,
A270141,大澤内科,596-0048,大阪府岸和田市上野町西１１－２１,0724(22)7784,"3,000 ",○,満1歳以上,×,,
A270284,中道クリニック,596-0821,大阪府岸和田市小松里町９２８－７,072(444)8158,"3,080 ",○,満5歳以上,×,,
A270249,医療法人　なかたクリニック,597-0001,大阪府貝塚市近木１０５７,072(422)0141,"3,000 ",○,満5歳以上,×,,
A270194,医療法人　新緑会　井利耳鼻咽喉科医院,597-0002,大阪府貝塚市新町７－５,072(422)7294,"3,000 ",○,満6歳以上,×,,
A270170,黒瀬クリニック,597-0003,"大阪府貝塚市中９０６－１
マンションコスモス１０２",072(431)1112,"2,500 ",○,満7歳以上,×,,
A270188,社会医療法人慈薫会　河崎病院,597-0104,大阪府貝塚市水間２４４,072(446)1105,"3,000 ",○,満16歳以上,×,,
A270054,医療法人　白雲会　リョ－ヤコマツクリニック,598-0048,"大阪府泉佐野市りんくう往来北１
りんくうゲートタワービル１７階",072(463)7003,"3,000 ",○,満3歳以上,×,,
A270462,医療法人財団　医親会　りんくうタウンクリニック,598-0048,"大阪府泉佐野市りんくう往来北１
りんくうゲートタワービル８階",072(460)1100,"3,000 ",○,満16歳以上,×,,
A270437,中平医院,599-8103,大阪府堺市東区菩提町４丁１７７,072(285)5250,"2,700 ",○,満1歳以上,×,,
A270342,医療法人中村診療所,599-8125,大阪府堺市東区西野４９２－２,072(235)6676,"3,080 ",○,0ヵ月以上,×,,
A270156,南波クリニック,599-8236,"大阪府堺市中区深井沢町３２８７
辻尾ビル３階",072(276)1101,"3,000 ",○,6ヵ月以上,×,,
A270083,片山土師診療所,599-8238,大阪府堺市中区土師町３－２６－２６,072(278)0788,"3,000 ",○,満7歳以上,×,,
A270370,上野医院,599-8241,大阪府堺市中区福田５４０－５,072(234)5326,"2,500 ",○,満1歳以上,×,,
A280108,たつみクリニック,650-0001,兵庫県神戸市中央区加納町２－９－１４,078(252)2430,"3,080 ",○,満5歳以上,×,,
A280192,医療法人　愛和会　金沢クリニック,650-0001,"兵庫県神戸市中央区加納町６－６－１
花時計北側金沢ビル１１階",078(332)4755,"3,080 ",○,満16歳以上,×,,
A280015,医療法人社団　伍仁会　岡本クリニック,650-0021,"兵庫県神戸市中央区三宮町１－１０－１
神戸交通センタービル７Ｆ",078(322)2507,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問50名以上
A280152,木村内科,650-0025,兵庫県神戸市中央区相生町３－１－２,078(351)4114,"2,800 ",○,満1歳以上,○,"2,800 ",1事業所1回訪問5名以上
A280163,医）中山内科リウマチ・アレルギー科,650-0044,兵庫県神戸市中央区東川崎町１－７－４,078(360)1835,"3,080 ",○,満15歳以上,×,,
A280001,医療法人社団　福本クリニック,650-0044,"兵庫県神戸市中央区東川崎町１－７－４
ダイヤニッセイビル７階",078(360)0407,"3,080 ",○,満18歳以上,×,,
A280182,医療法人財団春日野会　春日野会病院,651-0054,兵庫県神戸市中央区野崎通４－１－２,078(221)6221,"3,000 ",○,満3歳以上,○,"3,000 ",1事業所1回訪問20名以上
A280054,ＨＡＴ神戸つじ内科,651-0073,"兵庫県神戸市中央区脇浜海岸通
２－２－３　ケーズデンキ３Ｆ",078(261)1005,"2,900 ",○,6ヵ月以上,×,,
A280125,内橋内科医院,651-1412,"兵庫県西宮市山口町下山口
４－１４－２５",078(903)5722,"3,080 ",○,満1歳以上,×,,
A280075,丹家内科クリニック,651-2103,兵庫県神戸市西区学園西町５－２－１,078(793)6622,"3,080 ",○,満1歳以上,×,,
A280006,医療法人社団　菫会　伊川谷病院,651-2111,兵庫県神戸市西区池上２－４－２,078(974)1117,"3,080 ",○,満16歳以上,×,,
A280073,しげやま内科クリニック,651-2113,"兵庫県神戸市西区伊川谷町有瀬
１０５２－１",078(975)5353,"3,080 ",○,満12歳以上,×,,
A280030,医療法人社団百聞会　長谷川医院,651-2144,兵庫県神戸市西区小山１－３－２７,078(926)1688,"3,080 ",○,満3歳以上,×,,
A280156,（医）マスイ耳鼻咽喉科,651-2273,"兵庫県神戸市西区糀台５－１０－２
西神センタービル３Ｆ",078(991)6880,"3,080 ",○,満1歳以上,×,,
A280201,医療法人一輝会　荻原みさき病院,652-0847,兵庫県神戸市兵庫区切戸町６－２６,078(681)1871,"3,080 ",○,満16歳以上,×,,
A280044,丸山病院,653-0875,兵庫県神戸市長田区丸山町３－４－２２,078(642)1131,"3,080 ",○,満13歳以上,×,,
A280133,目黒医院,654-0113,"兵庫県神戸市須磨区緑が丘
２－２５－１６",078(741)6520,"3,080 ",○,満3歳以上,×,,
A280180,医療法人社団　医純会　たかなが皮フ科・アレルギー科・形成外科,654-0131,兵庫県神戸市須磨区横尾１－８,078(742)4112,"2,500 ",○,0ヵ月以上,×,,
A280158,清水クリニック,655-0006,"兵庫県神戸市垂水区本多聞６－２８－２
３",078(783)3030,"3,080 ",○,満1歳以上,×,,
A280074,山口医院,655-0044,兵庫県神戸市垂水区舞子坂３－５－８,078(781)2493,"3,080 ",○,満1歳以上,×,,
A280170,秋山医院,655-0046,"兵庫県神戸市垂水区舞子台２－９－３０
－１０２",078(784)0606,"3,080 ",○,満1歳以上,×,,
A280190,医療法人社団　藤原内科・循環器科,655-0046,兵庫県神戸市垂水区舞子台８－７－５,078(782)2121,"3,080 ",○,満7歳以上,×,,
A280129,たかだ内科クリニック,655-0047,"兵庫県神戸市垂水区東舞子町１０－１
ティオ舞子１０９",078(781)8188,"3,080 ",○,満15歳以上,×,,
A280118,森医院,655-0872,"兵庫県神戸市垂水区塩屋町
４－２５－１９",078(752)3000,"3,080 ",○,満3歳以上,×,,
A280034,高橋内科医院,656-0054,兵庫県洲本市宇原２２４３,0799(23)3556,"2,700 ",○,0ヵ月以上,○,"2,700 ",1事業所1回訪問10名以上
A280128,すずき内科クリニック,656-0478,兵庫県南あわじ市市福永４１６－４,0799(43)3188,"2,500 ",○,満1歳以上,×,,
A280187,南あわじ市国民健康保険　灘診療所,656-0551,兵庫県南あわじ市灘土生３０２,0799(56)0655,"3,080 ",○,6ヵ月以上,×,,
A280009,特定医療法人社団　順心淡路病院,656-2156,兵庫県淡路市大町下６６－１,0799(62)7501,"3,000 ",○,満18歳以上,×,,
A280105,しおかぜ診療所,656-2401,兵庫県淡路市岩屋１４１４－３５,0799(70)1697,"2,500 ",○,満1歳以上,×,,
A280150,川岸医院,657-0821,兵庫県神戸市灘区赤坂通１－１－１５,078(801)0391,"3,080 ",○,満6歳以上,×,,
A280110,（医）元就会　宮脇内科医院,658-0003,"兵庫県神戸市東灘区本山北町
３－４－１１",078(452)5657,"3,080 ",○,満5歳以上,×,,
A280130,医療法人社団仁愛会　中川医院,658-0013,"兵庫県神戸市東灘区深江北町
３－４－２２",078(431)6880,"3,080 ",○,満1歳以上,×,,
A280056,あだち耳鼻咽喉科,658-0016,兵庫県神戸市東灘区本山中町４－１－３,078(431)1133,"3,080 ",○,満1歳以上,×,,
A280064,吉岡クリニック,658-0016,兵庫県神戸市東灘区本山中町３－１－１,078(411)7909,"3,000 ",○,満1歳以上,×,,
A280146,ひろしま皮膚科,658-0046,"兵庫県神戸市東灘区御影本町２－１５－
１９　御影本町ビル４階",078(811)7002,"3,080 ",○,満16歳以上,×,,
A280144,神吉外科内科,658-0054,"兵庫県神戸市東灘区御影中町
１－１７－８",078(841)0099,"3,080 ",○,0ヵ月以上,×,,
A280199,まつだ内科クリニック,658-0072,兵庫県神戸市東灘区岡本１－６－１２,078(414)4114,"3,080 ",○,6ヵ月以上,×,,
A280106,医療法人社団　毛利耳鼻咽喉科芦屋クリニック,659-0024,兵庫県芦屋市南宮町１０－２４,0797(69)8741,"3,080 ",○,満1歳以上,×,,
A280040,上條医院,659-0033,兵庫県芦屋市高浜町７－２－１０５,0797(34)0787,"3,000 ",○,満3歳以上,×,,
A280068,吉龍医院,659-0043,兵庫県芦屋市潮見町７－２,0797(32)2855,"3,080 ",○,満15歳以上,×,,
A280038,後藤泌尿器科医院,659-0064,"兵庫県芦屋市精道町７－１
ハックス芦屋ビル２階西室",0797(21)5065,"2,700 ",○,満5歳以上,×,,
A280065,芦屋たいらクリニック,659-0068,兵庫県芦屋市業平町７－１５,0797(38)7291,"2,500 ",○,満1歳以上,×,,
A280046,瀬野内科医院,659-0092,兵庫県芦屋市大原町１１－２４－１０６,0797(23)3578,"3,080 ",○,満15歳以上,×,,
A280174,医療法人社団　永松クリニック,659-0095,兵庫県芦屋市東芦屋町６－２２,0797(32)3399,"3,080 ",○,0ヵ月以上,×,,
A280155,安倍小児科診療所,660-0054,兵庫県尼崎市西立花町２－３１－７１,06(6416)7733,"2,500 ",○,満1歳以上,×,,
A280157,医療法人社団　きたつじクリニック,660-0054,"兵庫県尼崎市西立花町３－１－１
－１０１",06(6430)7708,"3,000 ",○,満1歳以上,×,,
A280059,高寺医院,660-0076,兵庫県尼崎市大島１－２５－１０,06(6419)1470,"3,080 ",○,6ヵ月以上,×,,
A280107,毛利耳鼻咽喉科医院,660-0801,兵庫県尼崎市長洲東通１－９－３２,06(6488)8711,"3,080 ",○,満1歳以上,×,,
A280143,医療法人社団　こんどう整形外科,660-0822,"兵庫県尼崎市杭瀬南新町１－１－２３
エクセレントシティビル２階",06(6488)5215,"3,080 ",○,0ヵ月以上,×,,
A280050,社会医療法人　明石医療センター　カーム尼崎健診プラザ,660-0861,"兵庫県尼崎市御園町５４
カーム尼崎２階",06(6430)1315,"3,000 ",○,満18歳以上,×,,
A280096,高診療所,660-0861,"兵庫県尼崎市御園町２１
ＭＧ尼崎駅前ビル１階１０２号",06(6418)2611,"3,080 ",○,満1歳以上,×,,
A280197,よこたクリニック,661-0002,兵庫県尼崎市塚口町３－３７－１,06(6421)7177,"3,080 ",○,満15歳以上,×,,
